Text,Cluster
"Applying the ground cables required the use of a "" "" shotgun "" "" stick ( hot stick ). This tool allows for the completion of work while maintaining a safe distance between the potential hazard ( energized equipment ) and the worker's body. This creates an awkward situation while installing the ground cable to the conductor due to the weight, distance and body positioning required to use the shotgun stick.",0
"Manufacture [NAME]; Sleeve buttons, straps, and harnesses are required to wear rubber insulating sleeves properly. Four buttons are required per pair of sleeves. Two straps are required per pair of sleeves. One harness is required per pair of sleeves. One crew member was seen with only one strap. [NAME] stopped the job and fixed the situation.",0
A gas was introduced to a confined space that displaces oxygen while using for hot work. [NAME] required confined space form was not complete.,0
The crew didnt have the proper benching required for the trench depth. They didnt have a ladder for exit and entry. There wasnt a competent person that inspected nor was involved with the trench excavation and work that was going to be performed.,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
"[NAME] for crane service exited vehicles and equipment, crossed Colfax road to the job site. Only 1 member wearing basic required PPE.",0
The flagman ahead sign on each end of the work zone was approximately 200' and not the 500' which is required. Addressed to crew leader at time of observation.,0
"Working under a low picnic awning to avoid rain. [NAME] employees in an awkward position. Also was working within a 36 "" "" manhole that required unusual twisting in order to perform tightening of pipe fittings.",0
No sprayer or herbicide on this crew or any of the other 3 crews on site - - Inability to properly treat stumps as required,0
Use the required processes to plan a task and do not solely rely of the fact that the task is the same as yesterday.,0
"Each employee was in compliance since in a hard hat not required work zone. Although, in a non - hard hat required zone, they potentially could've went above the requirement.",0
Informed contractor that the mating surface of the ground required to be cleaned prior to being attached onto it. They agreed.,0
"[NAME] using an air spade which is habitually over 90 decibels with about 20 of the spade. [NAME] are supplied with hearing protection but were unfamiliar with the tenants of an effective hearing conservation program. This will rogram your s required if the noise levels exceed 99dBA over a TWA of 8 hours and the only effective way to determine this is which a calibrated dosimeter. Part if said program, if required, involves baseline and annual audiograms, which are not done. Note that if the employer recognizes high noise levels then OSHA mandates the employer do noise sampling ( full shift ). I recommended [NAME] push this up the NR safety chain for research and possible action.",0
1. Excavation Permit Had Not Been Completed As Required 2. Excavation Checklist Not Completed As Required,0
Always use the lifting device when a sling is required when lifting with the forklift. Do not execute free - rigging.,0
Trailer tires not chocked on two trailers. Whip checks not installed on pressurized hoses on water pump as required.,0
"Two man bucket crew on self - regulated temporary traffic zone. Though could be appropriate on the low volume country road, due to blind curves on both approaches to the work site required a full flagging setup. Truck had insufficient number of cones to create downstream taper as required. [NAME] moved to another site until complete flagging equipment, to include radios, could be obtained.",0
facemasks are required inside the building keep one with you just incase you have to break the social distancing guidlines,0
Switching took a bit late longer since there was field switching ( outside station fence ) required!! Distribution switch man assisted properly.,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
"One of the buckets being used to hold primary conductors was not barricaded as required by safety rule 1. 12, [NAME] safety rules, and AEP Barricading policy.",0
"[NAME] had a vehicle that had hit and busted several cones flaggers got out of vehicle and moved debris out of roadway without vests or hard hats, Coached on the expectation that any time their working near the highway they are required to wear all PPE, came to a understanding.",0
Observed [NAME] Loading A Forklift Onto A Haul Truck With Completing The Truck Load / Unloading Checklist As Required,0
Missing ATE required Fire Briefing. Spoke with GF. Asked to go over with crew and pod as this has been a common occurrence recently.,0
"Team member lacking required head protection. Discussed with Supervisor and crew to Be your brothers keeper. Asked to promote DAILY, as critical component to project safety performance.",0
Climber had forgotten the handsaw that is required when climbing. Climber corrected on his own. I coached the crew after the work was complete.,0
Freezing temperatures required extra layers to be worn. Truck was kept running to supply warmth if need.,0
"There was and OPI regarding hazard recognition and body positioning. The worker was on Co - op construction where lights and other equipment often hang near the top of transformers. I coached the employee on how work positioning would change not only the hazards exposed to but the requirements for what PIPE was required. [NAME] is tall, so I explained that when he was able to reach into the MAD zone, even though working on a light, he was placing himself in a position that required PIPE and then increased exposure to high energy. I showed him how to eliminate doing that by either opening the fuses and isolating the transformer or positioning himself lower where he would not encroach MAD. The worker understood and appreciated the pointers.",0
[NAME] was notified that the forklift inspection was required to be filled out before the start of his shift.,0
Fire extinguisher was too close to fuel storage. Supervisor was advised that the required distance is 25 - 75.,0
Made superintendent aware of providing signage on gate for open excavation and required ppe to make visitors aware,0
Worker going aloft in bucket to close in fuses with extendo stick didn't know a minimum of class 0 gloves were required. [NAME] lead coached on the matter and we held a follow up discussion after the work was completed.,0
Sub contractor is not wearing any ppe while loading material up this was 12 mins after our safety meeting where I spoke and told everybody that ppe was required on property,0
Discussed hazards associated with other drivers. We experienced one driver that was merging onto the roadway that required additional space.,0
"One employee had CPR Training, supervisor was not aware it was required. I went over the pre construction checklist with him and he was very appreciative. Immediately sending a copy to his supervisor and telling him they had some work to do to get on board with all of our requirements.",0
Two sawyers cutting logs to manageable size for lifting into split dump were sawing too close; at times less than ten feet apart. [NAME] stated thought five feet spacing was required. Coached crew that needed ten feet between each sawyer.,0
Informed contractor to use safety glasses with side shields when required ( going outside ). Reminded AEP employee of required side shields in the field.,0
Steps required to be added for new relay phasing. These were to disable and enable differential protection.,0
1. Truck Load / Unload Form Was Not Completed [NAME] To The Unloading Of The Site Storage Conex 2. Wheel / Tire Chocks Were Not Placed As Required For A [NAME] Gooseneck Trailer As Required,0
1 crew member was not wearing long sleeved shirt while applying herbicides as required by the label.,0
Notified employees who were lifting the battery charger that when they opened the handrail gate that they are required to be tied off.,0
Neither flagger had on the required reflective pants. This is not the first time I have caught this foreman with out them. I notified AWP supervision about the problem and they told me that they had just coached him about this yesterday.,0
Had to coach and clarify with one employee that [NAME] 2 were also required when handling a service drop. It was understood and corrected.,0
"1. Diesel Slip Tank On [NAME] Truck Did Not Have The [NAME] Labeling Placards As Required ( i. e. Diesel, No Smoking ). 2. Fuel [NAME] For Refueling Equipment Was Detached From Fuel Pump.",0
Required gators weren't being worn by either flagger. [NAME] had the gators in truck still in package just chose not to wear them.,0
[NAME] member that came on site to load truck was missing majority of required PPE. No other crew members nearby asked him to put on require PPE.,0
"Discussed with the crew that anytime the barricade is up, all employees on the job site are required to wear overshoes.",0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
"Reminded crew to police themselves in regards to individuals lacking required hand protection. In addition, discussed focus with recent hand injuries on projects. [NAME] receptive.",0
Concrete crew members ( 4 ) received AEP orientation on 8 / 28 / 24. By 9 / 16 / 24 concrete crew members ( 4 ) had not yet received their required OSHA 10 training.,0
Employees were going to add the necessary information onto future job - briefings in relation to required Covid - 19 safe practices.,0
I coached the employee on covering all conductors that come within the minimum approach distance of the vehicle boom. Corrected in the field and no further action required.,0
During the observation it was found that a ground on site was out of date on the required testing requirements. I spoke with site leadership and recommended he remove it service.,0
"1. Some crews members thought we do need to let the chainsaw cooler before refueling. As a group we discussed that this is not completely wrong if you're going by the manufacture's guidelines for the saw. However, for our proposes and rules it is not required.",0
"Specific PPE was documented, but not all the required PPE was marked. They were climbing the tree and left off fall protection and whistle. In the area that asks, "" "" What PPE must be used for this job? "" "" they wrote "" "" all thats required. "" """,0
"Fire extinguishers on trucks are required to be inspected each month to assure availability of them, when and if their ever needed.",0
"Upon my arrival, the concrete truck driver did not have on the required PPE. ( Hard hat, eye protection or Hi Viz )",0
"Employees had the primary properly grounded and were wearing gloves and sleeves as required, however they did not recognize the primary backfeed hazard at the top of the new transformer just installed after replacing secondary leads back in transformer while finishing the top side of the pole. Had a good conversation and they removed the leads until ready to complete the work.",0
"Welding trailer wheel jack stand box trailer, did not have hot work permit or identified on THA. Supervisor continues to wear his designer glass and not the required z87 safety glasses.",0
[NAME] didn't have all signs out required for the intersection they were working near. Truck wasn't properly coned off.,0
"Sub - Contractor [NAME] Members Did Not Have Their 2023 Hard Hat Stickers, Inquiry Was Made Concerning The Required Annual Training Though Vero And Sub - Contractor ( TRC ) Management.",0
Employee was observed not wearing any of the required PPE when he exited the fork truck to help other employees.,0
Wearing gloves not rated for chemical use required by SDS. Member wearing prescription safety glasses with no side shields as required by SDS,0
"Employee did not know safety glasses were required to pre - flight the truck, so I explained that they are necessary any time we work near hydraulic equipment.",0
One of the four required signs in the WAP sign package was not in place at the time of the observation. [NAME] members were finishing that particular setup and added necessary signage as the crews moved to a new location.,0
"Two employees not wearing sideshields, one has been seen before without & corrected. Talked with supervision & safety, employee was wrote up. Issue corrected, requested monitoring the employees not only work ethic but standard PPE required to perform work.",0
"2 separate vendors on - site not wearing appropriate PPE for hazard. Had a mini stand - down with leadership and vendors on the importance of: see something, say something we talked about remoteness, and time it would take to treat even a minor injury, also discussed how safety is everyones responsibility, explained to contractor that the control of the project is on them, gave vendors a copy of the AEP contractor handbook, explained all of us are required to wear PPE when and where there is an exposer to incident or injury.",0
Workers in bucket exhibited safety precautions as did those on the ground. It looked like they all are very experienced and adhered to everything required.,0
It is likely that TMI clothing requirements are not in line with weather conditions. [NAME] had 3 layers of required clothing on,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
Employee observed not wearing required eye protectionEmployee observed not wearing required eye protection,0
"Crown arrived on site and had no documentation ( WSHP, THA, etc. ), Certified crane services employees were not wearing z87 safety glasses as required. After having a discussion with [NAME] he managed to obtain the required documentation, we had a meeting the prior week regarding the required documentation before commencing any work onsite.",0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
[NAME] was not observant of nor assisting with gas station parking lot traffic that was crowded with customers and AEP vehicles set up and working OH lines in the same lot. At the time their duties were not required anywhere else on the roadway.,0
"While on storm restoration PVDs are required to be ready, worn and active. No crew members were wearing PVD",0
Employee was grinding chamfer into drilled pier without any control of silica dust. No wet method and / or dust collector required tool was being used. Employee was wearing a face shield and dust mask while grinding on foundation but no else in the area was wearing any ppe for silica protection. The discussion regarding the use of the right tool and methods was discussed yesterday and everyone agreed to follow the required guidelines that OSHA has in place and it was disregarded today.,0
Only one sign out. The TTC required a sign at both ends of th workzone. [NAME] needed to consult the OMUTCD to know what set - up tp use.,0
"AEP [NAME] are not equipped with the required amount of cones on the trucks to be able to set up the required Termination area, Buffer area or transition areas in most of their work locations.",0
"Employee was wearing personal sunglasses that were not safety approved, and did not have the required side shields.",0
"Servicer was wearing a T - shirt with silkscreening under his FR. FR shirt was loosely buttoned and not tucked in. The Servicer was not exposed to an arc flash, but was required to wear FR when closing a cutout from the ground. I reminded him when FR is required it shall be worn correctly.",0
Observed spoils pile that was placed on the edge of the open excavation / trench. Spoke with operator and foreman and reminded them of the 2ft minimum distance required from the spoils pile to the edge of the excavation.,0
"They were not aware of the proper distances required for non electrical workers, we had a discussion on it",0
"Several procedures and policies not being followed, addressed at site, PPE not utilized, equipment not barricaded when required, job briefing not at work site",0
The project has expanded to over 20 workers and required a full time safety representative be on site.,0
"Employee was tied off to stairwell handrail. [NAME] handrail will not hold 5, 000 pounds required for tie off point. Also going against manufacture recommendations.",0
"Questioned glove use while using saws. We were able to reach out to an SME to give us the requirements. [NAME] was unaware if gloves were required, and what cut resistant strength was required.",0
"Observed [NAME] Member Using The 1 1 / 2 "" "" Water [NAME] That Was Attached To The Water Tanker Truck, [NAME] Member Was Not Wearing The Required [NAME] Protection While Preforming The [NAME] Spraying Operation",0
"[NAME] has no herbicide licenses, Sprayer, and chemical on the truck. Spoke to foreman and general foreman about getting all the required licenses and equipment up to date. general foreman stated they are having a spray class to get employees licensed and equipped.",0
"Employees not wearing the proper eye protection as required by Aep, OSHA and contractors regulations.",0
[NAME] [NAME] Member Arrived On Site Without The Required OSHA 10 Minimum Training Or The Receiving The Required AEP Safety Orientation,0
All truck drivers that showed up to pick up equipment were not wearing any PPE. [NAME] was asked to tell them that if they are going to be outside of their truck that all standard PPE was required.,0
Observed Spotter Of The Drilling [NAME] Not Wearing The Required Safety [NAME] & Not Tied Off When Measuring The Depth Of The Drilled Hole As Required,0
No grounding plan was utilized. Spoke to job foreman about this and he wasn't aware one was required.,0
THA Not Reviewed After Lunch As Required By The Terms & Conditions Article 2. 0 [NAME] 36 Section 2. 5. 1,0
"Welding trailer wheel jack stand box trailer, did not have hot work permit or identified on THA. Supervisor continues to wear his designer glass and not the required z87 safety glasses.",0
"Observed Excavation At Drilled Excavation Location For Conduit Installation Without [NAME] Access & Egress, Excavations Were Not Slopped Or Stepped Down As Required",0
JOM in bucket hands on and maneuvering around phases. [NAME] communication between tasks is required,0
"The employee did an excellent job of covering all energized conductors and equipment, I coached the crew on the importance of ensuring the mainline neutral is adequately covered if the bucket is within minimum approach. The crew was receptive and made adjustments accordingly. No further action is required.",0
"THAwascompleted, signed, and discussed, but did not include the use of the foot protection as required PPE",0
[NAME] Visual vests not always worn when required. This was discussed and corrected. AEP - [NAME] Visual / Reflective Clothing Policy,0
Trenwa was being installed out of normal sequence due to being received late. The crew was working around all the previously install electrical equipment and foundations. This made the work areas tight. [NAME] effort was required to remove obstacles as work progressed.,0
Vehicle parking space does not facilitate back in upon arrival. Spotters were assigned for each vehicle when backing was required.,0
"Crown arrived on site and had no documentation ( WSHP, THA, etc. ), Certified crane services employees were not wearing z87 safety glasses as required. After having a discussion with [NAME] he managed to obtain the required documentation, we had a meeting the prior week regarding the required documentation before commencing any work onsite.",0
"The task was welding bridge sections together. The contractor had not started yet, but was unaware that a hot work permit would be required.",0
"Observed [NAME] Member Grinding On [NAME] Structures, Made Inquiry Concerning The Required Hot [NAME] Permit, [NAME] Member Stated [NAME] Had Not Completed The Required Permit",0
Observed Sub - Contractor [NAME] Member Not Wearing The Required And Provided Seatbelt While Operating A Backhoe,0
2 of 2 employees said you do need to let the saw cool before refueling. We discussed that this is recommended by the manufacturer but is not required.,0
"Team member carrying large dunnage without donning required hand protection. Shared with Primoris Safety, Supervisors and TCR.",0
"Shared policy to Crown equipment delivery driver about required PPE, hi vis and hard hat, when on AEP sites. Gave Crown crew member AEP safety handbook for review.",0
The tape sealing work was at floor level and required working from their knees or in a sitting position - neither one being overly comfortable.,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
Employee not wearing seatbelt when driving forklift through yard. Asked them to put it on and they did so. Other PPE worn as required.,0
Installing the test equipment required pressing body parts against the support beams. Installing the test equipment required pressing body parts against the support beams.,0
"1. Observed Improper Rebar Caps In Anchor Pins For Hole Covers, [NAME] Using Bottle Cap Rebar Covers Instead Of The Required [NAME] Plated Safety Rebar Caps As Required. 2. Observed Tool Trash & Plastic Bottles In And Around The [NAME] Area With Plastic Bottles Being Left In The Excavation Trenches.",0
"Shared policy to Crown equipment delivery driver about required PPE, hi vis and hard hat, when on AEP sites. Gave Crown crew member AEP safety handbook for review.",0
"NewSouth truck driver lacking required hard hat protection. Spot corrected and shared observation with site lead, TCR, and prime Supt. [NAME] continue to monitor.",0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
"CMV was not inspected as required per Motor [NAME] DOT laws. Employee agree to, and completed a documented inspection before he left.",0
The crew was spraying garlon and did not have the proper gloves on required in the SDS while using Garlon.,0
"When laying line covered primary on the bucket lip, a second layer of protection is required to include a blanket. Discussed with linemen and Supervisor. Spot Corrected.",0
"[NAME] Vis is required while working around moving equipment with a skid steer. Employees were not wearing them, however a different safety person had visited them earlier and told them they didnt have to because of the heat. I advised them to keep them handy and put them on while moving equipment.",0
"Workers not wearing hard hat, proper eye protection, or gloves as required. Only high visibility shirts were worn.",0
[NAME] had multiple backing situations that required assistance. Everyone did a great job of communicating steps to be taken.,0
"Supervisor and Turbine coordinator discussed the required PTTO needed for turning gear, during the D coupling alignment.",0
1. AEP Contact [NAME] Was Not Completed As Required. 2. Contractor & Sub - Contractor Annual Training [NAME] Indicated Last Annual Required Was Completed On 15 [NAME] 2022.,0
Review with [NAME] [NAME] when we will need / if they are required to have the form if they are air spading or hand digging / refer and confirm with new TC100 as welll,0
TCR observed crewman installing cable trench system without proper hand protection ( gloves ). Discrepancy was addressed and crewman was escorted by the [NAME] to obtain the proper PPE required for the job.,0
employee was not using safety glasses as required. I coached him on the need to wear all of his PPE and also notified his supervisor so he can address the need to comply with all of his employees.,0
[NAME] on site to help with storm restoration not wearing [NAME] 2 gloves as required by AEP [NAME] Restoration Safety Booklet. This was corrected.,0
"Shared policy to Crown equipment delivery driver about required PPE, hi vis and hard hat, when on AEP sites. Gave Crown crew member AEP safety handbook for review.",0
Multiple portable fire extinguishers onsite ( specifically on equipment ) did not have updates inspections dates on tags. Portable Fire Extinguishers are required to be visually inspected when placed in service and at least monthly ( 30 days ) intervals thereafter.,0
"FR jacket needed for tach weld; employee wasn't wearing one. Discussed that it was required for all welding activity, jacket was added to the PPE matrix",0
2 subcontractor mechanics were working on the jobsite repairing a bucket on an excavator. They were not wearing the PPE required by AEP,0
Taper approximately 1 / 2 of required length; no end of work sign; sign spacing approximately two times required distance.,0
No stump sprayer on trucks to perform stump treatment as required by contract. [NAME] did not have proper signs to work safely in the road.,0
"Additional PPE Required and [NAME] Area Conditions were not completed on the backside of the THA. The Additional PPE section would be an area to identify PPE in use beyond the minimally required PPE appropriate to the work tasks being performed such as the use of face shields, fall protection systems, etc that were both in use onsite yesterday. [NAME] Area Conditions section would include anything that would impact the physical work environment such as physical exposure ( ergonomic issues ), exposure to harmful chemicals / particles, noise / vibration exposure, weather conditions, lighting, etc.",0
Supervisor / [NAME] Did Not Completed The Required Truck Load / Unload Checklist [NAME] To Load A Manlift Onto Their Haul Truck & Trailer,0
"Primoris sub contractor is loading mats onto truck drivers float trailers. I noticed one of the drivers was walking around in shorts, tank top, and no PPE on. I talked to the supervisor and told him to make sure their sub contractors were all required AEP PPE at all times when on ROW. [NAME] said he would talk to them and make sure they wear their PPE.",0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
DSS and Safety professional coached on when signs are required when parked within 15 feet of roadway. Signage was placed promptly.,0
"Although the correct PPE was listed on the job briefing, two employees were not wearing safety glasses or hearing protection until I drove up. We discussed the value of wearing the PPE when required and they gave us their commitment to wear them when required.",0
Discussed training required - - will be scheduling OSHA training as soon as we fill all vacant positions - - - reminded all to check KEYS weekly and complete any scheduled training before due date,0
"The crew was using a backhoe to remove the dirt. However, they had set the spoil dirt next to the excavation instead of keeping it at least 2 feet away as required by excavating standards. The foreman corrected the distance.",0
They did not consider the work they were doing as work that required PPE. [NAME] coaching was based on providing a good example to their employees and protecting themselves.,0
"[NAME] had Gaffs written on briefing, however they could not explain why it was required to be there.",0
"Parked in one location where backing was going to have to take place. The employee had the opportunity to park in a position that wouldnt have required backing. Coached on parking in a place to prevent backing, used myself as a backer to get the truck moved.",0
The tags did not have the name of the dispatch authority. Only the hold tag was present. The technician was not the one who placed the tag. I told the tech the tags are required to have the dispatch authority name written on the tag.,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
"Crown arrived on site and had no documentation ( WSHP, THA, etc. ), Certified crane services employees were not wearing z87 safety glasses as required. After having a discussion with [NAME] he managed to obtain the required documentation, we had a meeting the prior week regarding the required documentation before commencing any work onsite.",0
Not useing the required contractor forms. Job [NAME] was directed to VERO to get the latest required THA and job briefing forms.,0
"Fleet mechanic raised concern about a recent return to work protocol he employee successfully completed where he was required to carry 100 lbs. at waist level and then the 60 lbs. in one hand, he said this did not seem to line up with the lifting and weight awareness training we've had",0
"Observed bulk fuel storage tank that did not have "" "" No Smoking "" "" signage posted. Discarded cigarettes were also observed next to the fuel tank. Spoke with the supervisor and recommended acquiring and posting proper signage as required by OSHA. The supervisor located and installed signage prior to the end of the shift. Thank you for the quick response.",0
"Employees being visited had not yet gone through the SIF Workshop yet where the five required elements of PJB are taught. [NAME], their job briefing might touch on these areas but it's not being conducted because they know and have been trained on these five elements.",0
Tensioner lacked required Safe Operating Manufacturers [NAME]. Needs to be available for crew. Requested Supervisor contact Management.,0
Had to remind the IAD to use the required clearance checklist when helping Permit Holders sign on to clearances.,0
Employee showed some confusion of when gloves / sleeves are required when performing tasks that would / could place him within minimum approach of conductors. We discussed the task and conditions that made that determination. [NAME] stated he understood and utilized the correct class as required.,0
"When crew started to work on energized lines they did not barricade. They were not clear that barricading was required when working on primary, they were under the assumption it was only required when working on the road.",0
station gravel creating uneven surface. We pointed this out as we did our walk through in order to mitigate. Also stepping into the fenced area required caution and was addressed before action.,0
Servicer handling old scrap material and wire without any PPE on. Coached servicer and he put on all required PPE.,0
Bucket operator was holding the street light circuit with the jib winch line is a side pull configuration. We discussed using the winch line only in a vertical operation as required by the manufacturer.,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
Excavation not properly barricaded and covered outside of substation as required. Excavation was covered with pallets and not securely overlapping edges. Did not have HOLE marked on boards as required. Inside substation was properly barricaded.,0
Superintendent was not wearing the required Z87 safety glasses while on - site. The basic PPE is required by AEP and OSHA at all times while visiting any construction site. We must lead by example as leaders out in the field.,0
UTV did not meet requirements. No doors or netting as required. No DOT helmets on - site as required.,0
"BTs with ladder access STILL lacking required hand hold where previous stabilizing support was before being knocked off. Superintendent expressed fixing, but has yet to complete on all. Shared with supervision to verify status to correct. [NAME] Protection concern.",0
"Observed Subcontractor Personnel enter the Restricted Access Zone to measure the depth of the excavation without the use of fall protection systems. While employees may be periodically required to take depth measurements during the drilling process, employees are required to wear the appropriate harness and be tied off to a suitable anchor.",0
"All of [NAME] Employees had all of the required PPE on during the CORE visit. They take pride in their application of safety standard to help ensure AEP's Zero Harm mandate. However, Their Traffic Control Subcontractor, [NAME] [NAME] and Company, had two workers installing the concrete Jersey [NAME] impact attenuator were not wearing hearing protection, eye protection, nor gloves while operating a concrete drill. AEP notified Newkirk's on - site project manager, Nate Leenhouts, and he coached the sub - contractor on the proper safety PPE required to perform their job task. The crew was very receptive to the coaching and a potential safety incident was averted.",0
Truck driver on site was out of his vehicle and not wearing all required PPE. Reminded Systems Control to have a conversation with all drivers on site regarding PPE policy.,0
Guardrail system in place but had long conversation regarding the use of the required pins to hold the panels to the bases,0
One operator did not have leg restraints properly placed and tight. Coached employee on the way it is required and the dangers of not being proper he made corrections immediately.,0
"EAP was very vague and lacking information required in T & C sections 2. 4, covering the information required in the emergency planning.",0
[NAME] did not recognize that coverup was required on the new conductor while tying it in since it was not energized yet. They were utilizing the proper gloves / sleeves but did not take into account the induced voltage since the grounds had been removed once the new conductor had been dead - ended.,0
Received WSHP and supporting documents that was not sent to the required AEP team per the 2020 contractor handbook.,0
Observed multiple overhead signs that have been knocked over or pulled and laid down on the ground. Recommend crews repair and reinstall the required signage.,0
"Added notes to the required Proof tests / Trial Lifts required after pinning and affixing boom point baskets for use. Referenced test weighting with basket loading weight. Supervisor acknowledged and performed,",0
contractor was using a non - permit confined space and after discussion they did not have a written rescue plan. So it was determined that we should have a permit required confined space plan and have a written rescue plan in place in case of emergency. contractor was using a non - permit confined space and after discussion they did not have a written rescue plan. So it was determined that we should have a permit required confined space plan and have a written rescue plan in place in case of emergency.,0
Neither flagging crew members had reflective leg gaiters on. ATE is aware of this and has the required gaiters in storage.,0
Employee was holding grinder with one hand and holding metal with other. Two hands on a grinder is required at all times.,0
"Milestone was not approved in VERO for 2024. The crew on site began work and was not aware of any safety documents required, including job briefing form.",0
"Hot [NAME] Was Not Completed As Required Per The Terms & Conditions, [NAME] [NAME] Task Was [NAME] Fence [NAME] With Bandsaw, Which Could Produce [NAME]",0
Sub - contracted crane operator was off of equipment walking through the station without wearing AEP required hi - viz outer later. Notified crew foreman and operator was asked to return to his equipment while waiting. Reminded crew foreman to maintain positive control of their sub - contracted employees.,0
Discussed training required - - will be scheduling OSHA training as soon as we fill all vacant positions - - - reminded all to check KEYS weekly and complete any scheduled training before due date,0
"Had a discussion / reminder / clarification about when [NAME] 2 gloves would be required - at that point in time we did not have off - system support, universal class 2 was not yet needed but the question was unclear for crew members.",0
"Both crew members had glasses, but neither were wearing them. They claimed that they fog up too much. I advised both that they are required to wear them at all times. No rubber gloves were being used while spraying stumps. I advised them to get proper PPE immediately",0
Found two hoist that were missing the latch on the hooks. The latch is required to be on and working properly when making a lift.,0
Shadow vehicle was set at the very start of the buffer and was to far away from the work crews. Line foreman moved his truck to assist and added the layer of protection required / needed for workers aloft.,0
"Supervisors know what they is required while working in the service center. However, they were not enforcing the protocols or using them for themselves.",0
Not all required PPE was listed on job briefing and foreman was not wearing the correct type of boots.,0
"1. [NAME] Missing Their 2024 Hard Hat Stickers, Review Of Training Through Vero Indicated That The [NAME] Had Received Their Required Annual Training IN [NAME] Of 2024. 2. Review Of Sub - Contractor ConCan Services Revealed Through Vero Indicated That ConCan Services Were Not An Approved Contractor.",0
"Prejob required material for [NAME] was not completed. Prejob should have been more in depth, detailing tasks and critical tasks.",0
"Line was grounded so PIPE was not required at time, but sleeves in bin only had one strap. This has been an item we have been seeing often. Discussed the need for second strap and wearing the sleeves properly.",0
"Digger [NAME] was identified as lacking outrigger pads. [NAME] aware and expressed being ordered. Challenged crew to when lacking required tools, material, and equipment steps must be taken to remediate versus working without.",0
"1. Ground Tracking Form Incomplete, Ground Locations Not Identified As Required. 2. TCR Signature Had Not Been Obtained As Required.",0
[NAME] has been encouraged to note the gps location of the daily working zone on his paper work and he does understand the guardian requests this on daily paperwork for safety precautions: he feels it is not required because the new forms do not have a space labeled for GPS,0
